Movie Title,Year of Realease,Genre,Movie Rating,Duration,Gross (In Millions),Metascore,Votes
Hotel Transylvania 3: Summer Vacation,2018,"Animation,Adventure,Comedy",6.3,97,167.51 ,54,"74,177"
The Boss Baby,2017,"Animation,Adventure,Comedy",6.3,97,175.00 ,50,"126,991"
Dunkirk,2017,"Action,Drama,History",7.8,106,188.37 ,94,"650,998"
Godzilla,2014,"Action,Adventure,Sci-Fi",6.4,123,200.68 ,62,"413,560"
How to Train Your Dragon: The Hidden World,2019,"Animation,Action,Adventure",7.4,104,160.80 ,71,"128,488"
Sherlock Holmes,2009,"Action,Adventure,Mystery",7.6,128,209.03 ,57,"631,723"
Meet the Fockers,2004,"Comedy,Romance",6.3,115,279.26 ,41,"271,402"
WALL·E,2008,"Animation,Adventure,Family",8.4,98,223.81 ,95,"1,106,841"
Kung Fu Panda 3,2016,"Animation,Action,Adventure",7.1,95,143.53 ,66,"158,944"
Terminator 2: Judgment Day,1991,"Action,Sci-Fi",8.6,137,204.84 ,75,"1,089,869"
Ant-Man,2015,"Action,Adventure,Comedy",7.3,117,180.20 ,64,"660,728"
The Grinch,2018,"Animation,Comedy,Family",6.3,85,270.62 ,51,"70,213"
Venom: Let There Be Carnage,2021,"Action,Adventure,Sci-Fi",5.9,97,213.55 ,49,"220,241"
Ghost,1990,"Drama,Fantasy,Romance",7.1,127,217.63 ,52,"217,251"
Aladdin,1992,"Animation,Adventure,Comedy",8,90,217.35 ,86,"416,811"
Rio 2,2014,"Animation,Adventure,Comedy",6.3,101,131.54 ,49,"90,925"
Troy,2004,"Drama,History",7.3,163,133.38 ,56,"533,295"
Toy Story 2,1999,"Animation,Adventure,Comedy",7.9,92,245.85 ,88,"578,177"
How to Train Your Dragon,2010,"Animation,Action,Adventure",8.1,98,217.58 ,75,"735,267"
Twister,1996,"Action,Adventure,Thriller",6.4,113,241.72 ,68,"196,834"
Oz the Great and Powerful,2013,"Adventure,Family,Fantasy",6.3,130,234.91 ,44,"208,389"
Clash of the Titans,2010,"Action,Adventure,Fantasy",5.8,106,163.21 ,39,"282,939"
Maleficent: Mistress of Evil,2019,"Adventure,Family,Fantasy",6.6,119,113.93 ,43,"105,066"
War for the Planet of the Apes,2017,"Action,Adventure,Drama",7.4,140,146.88 ,82,"256,597"
Shrek,2001,"Animation,Adventure,Comedy",7.9,90,267.67 ,84,"672,459"
Mr. & Mrs. Smith,2005,"Action,Comedy,Crime",6.5,120,186.34 ,55,"494,933"
Angels & Demons,2009,"Action,Mystery,Thriller",6.7,138,133.38 ,48,"293,394"
Teenage Mutant Ninja Turtles,2014,"Action,Adventure,Comedy",5.8,101,191.20 ,31,"211,216"
Bruce Almighty,2003,"Comedy,Fantasy",6.8,101,242.83 ,46,"403,001"
Rio,2011,"Animation,Adventure,Comedy",6.9,96,143.62 ,63,"227,834"
Saving Private Ryan,1998,"Drama,War",8.6,169,216.54 ,91,"1,377,916"
Rise of the Planet of the Apes,2011,"Action,Drama,Sci-Fi",7.6,105,176.76 ,68,"527,898"
Home Alone,1990,"Comedy,Family",7.7,103,285.76 ,63,"563,004"
Hotel Transylvania 2,2015,"Animation,Adventure,Comedy",6.6,89,169.70 ,44,"127,713"
Star Wars: Episode VI - Return of the Jedi,1983,"Action,Adventure,Fantasy",8.3,131,309.13 ,58,"1,045,754"
Charlie and the Chocolate Factory,2005,"Adventure,Comedy,Family",6.7,115,206.46 ,72,"478,381"
Indiana Jones and the Last Crusade,1989,"Action,Adventure",8.2,127,197.17 ,65,"750,474"
Jaws,1975,"Adventure,Thriller",8.1,124,260.00 ,87,"602,420"
San Andreas,2015,"Action,Adventure,Thriller",6.1,114,155.19 ,43,"237,412"
It Chapter Two,2019,"Drama,Fantasy,Horror",6.5,169,211.59 ,58,"262,024"
Wreck-It Ralph,2012,"Animation,Adventure,Comedy",7.7,101,189.42 ,72,"421,180"
Godzilla vs. Kong,2021,"Action,Sci-Fi,Thriller",6.3,113,100.92 ,59,"206,514"
The Hangover,2009,Comedy,7.7,100,277.32 ,73,"781,265"
The Lego Movie,2014,"Animation,Action,Adventure",7.7,100,257.76 ,83,"354,346"
Bumblebee,2018,"Action,Adventure,Sci-Fi",6.7,114,127.20 ,66,"164,926"
Star Trek Into Darkness,2013,"Action,Adventure,Sci-Fi",7.7,132,228.78 ,72,"483,380"
The Matrix,1999,"Action,Sci-Fi",8.7,136,171.48 ,73,"1,895,339"
Gladiator,2000,"Action,Adventure,Drama",8.5,155,187.71 ,67,"1,485,912"
Pretty Woman,1990,"Comedy,Romance",7.1,119,178.41 ,51,"324,063"
Cars,2006,"Animation,Adventure,Comedy",7.2,117,244.08 ,73,"419,343"
Ba bai,2020,"Action,Drama,History",6.7,149,0.37 ,64,"5,832"
X-Men: The Last Stand,2006,"Action,Adventure,Sci-Fi",6.6,104,234.36 ,58,"516,297"
National Treasure: Book of Secrets,2007,"Action,Adventure,Mystery",6.5,124,219.96 ,48,"237,913"
Lucy,2014,"Action,Sci-Fi,Thriller",6.4,89,126.66 ,61,"494,639"
Mission: Impossible,1996,"Action,Adventure,Thriller",7.1,110,180.98 ,59,"425,965"
